Öffentliche Stellen sind gemäß der Richtlinie (EU) 2016/2102 des Europäischen Parlaments dazu verpflichtet, Webauftritte barrierefrei zugänglich zu machen.;Die Landes-Haupt-Stadt München arbeitet daran,\ndass alle Menschen die Internet-Seiten gut benutzen können.\nDas nennt man:\nbarriere-freie Internet-Seiten.\nBarriere-frei bedeutet:\nAlle Menschen können alles gut benutzen.\nAuch Menschen mit Behinderung.\nZum Beispiel:\n* Menschen, die nicht gut sehen können.\n* Menschen, die nicht gut hören können.\n* Menschen, die nicht gut sprechen können.\n* Menschen, die nicht gut laufen können.\n* Menschen, die nicht gut mit den Händen arbeiten können.
Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts und konnte aufgrund der Fülle des Materials und der Komplexität der Site noch nicht alle Inhalte und Services digital barrierefrei gestalten.;Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts.\nDas bedeutet:\nDie Internet-Seite von der Stadt München soll für alle Menschen gut zu benutzen sein.\nAuch für Menschen mit Behinderung.\nUnd auch für Menschen, die nicht so gut Deutsch können.
Sie können Mängel bei der Einhaltung der Anforderungen an die Barrierefreiheit mitteilen oder Informationen, die nicht barrierefrei dargestellt werden müssen, barrierefrei anfordern.;Sie können uns helfen.\nSie können uns sagen:\nWo gibt es Probleme mit Barriere-Freiheit?\nZum Beispiel:\n* In einem Amt.\n* In einem Gebäude.\n* Auf einem Geh-Weg.\n* An einer Haltestelle.\n* In einem Park-Haus.\n* Auf einem Spiel-Platz.\n* Auf einem Friedhof.\n* Auf einem Markt.\n* In einem Park.\n* In einem Schwimm-Bad.\n* In einem Theater.\n* In einem Kino.\n* In einer Bibliothek.\n* In einem Museum.\n* In einer Schule.\n* In einem Kranken-Haus.\n* In einem Alten-Heim.\n* In einem Behinderten-Heim.\n* In einem Gefängnis.\n* In einem Tier-Heim.
Durchsetzungsverfahren\n\nBleibt eine Anfrage an die Kontaktstelle innerhalb von sechs Wochen ganz oder teilweise unbeantwortet, prüft die zuständige Aufsichtsbehörde auf Antrag der betroffenen Nutzer*innen, ob im Rahmen der Überwachung gegenüber den Betreibern des Webangebots Maßnahmen erforderlich sind. Die für das Durchsetzungsverfahren zuständigen Aufsicht ist das Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de;Die Kontakt-Stelle ist für alle Menschen da.\nDie Kontakt-Stelle hilft Ihnen.\nZum Beispiel:\n* Wenn Sie eine Frage haben.\n* Wenn Sie sich beschweren wollen.\n* Wenn Sie Hilfe brauchen.
Wenn Ihre personenbezogenen Daten von der Landeshauptstadt München verarbeitet werden, können Sie als betroffene Person im Rahmen der gesetzlichen Regelungen von der Landeshauptstadt München Auskunft über die Sie betreffenden personenbezogenen Daten erhalten. Sind Daten unrichtig, so können Sie unter Umständen Berichtigung verlangen. Als betroffene Person haben Sie ferner unter bestimmten Voraussetzungen das gesetzliche Recht, die Daten löschen oder sperren zu lassen.;Sie haben das Recht auf Auskunft.\nDas bedeutet:\nSie können die Stadt-Verwaltung fragen:\nWelche Daten hat die Stadt-Verwaltung von mir?\nZum Beispiel:\nHat die Stadt-Verwaltung meine Adresse gespeichert?\nHat die Stadt-Verwaltung meine Telefon-Nummer gespeichert?\nHat die Stadt-Verwaltung mein Geburts-Datum gespeichert?\nHat die Stadt-Verwaltung meine E-Mail-Adresse gespeichert?\nHat die Stadt-Verwaltung meine Staats-Bürgerschaft gespeichert?\nHat die Stadt-Verwaltung meine Steuer-Identifikations-Nummer gespeichert?\nHat die Stadt-Verwaltung meine Versicherungs-Nummer gespeichert?
In der Stadt-Information im Rathaus erhalten Sie neben Printmedien, Rat und Hilfeleistung verschiedenster Art.;In der Stadt-Information im Rathaus bekommen Sie Hilfe.\nZum Beispiel:\n* Sie können sich Informations-Material holen.\n* Sie können sich beraten lassen.\n  Beraten lassen bedeutet:\n  Sie bekommen von einem Mitarbeiter oder einer Mitarbeiterin Informationen.\n  Die Informationen sind gut verständlich.\n  Die Informationen sind so, dass Sie sie gut gebrauchen können.\n  Zum Beispiel:\n  Sie wollen wissen:\n  Wie komme ich mit dem Bus zum Rathaus?\n  Dann sagt Ihnen der Mitarbeiter oder die Mitarbeiterin das.\n  Und der Mitarbeiter oder die Mitarbeiterin sagt Ihnen das so, dass Sie es gut verstehen.\n  Und der Mitarbeiter oder die Mitarbeiterin sagt Ihnen das so, dass Sie es gut gebrauchen können.\n* Sie können sich beraten lassen.\n  Beraten lassen bedeutet:\n  Sie bekommen von einem Mitarbeiter oder einer Mitarbeiterin Informationen.\n  Die Informationen sind gut verständlich.\n  Die Informationen sind so, dass Sie sie gut gebrauchen können.\n  Zum Beispiel:\n  Sie wollen wissen:\n  Wie komme ich mit dem Bus zum Rathaus?\n  Dann sagt Ihnen der Mitarbeiter oder die Mitarbeiterin das.\n  Und der Mitarbeiter oder die Mitarbeiterin sagt Ihnen das so, dass Sie es gut verstehen.\n  Und der Mitarbeiter oder die Mitarbeiterin sagt Ihnen das so, dass Sie es gut gebrauchen können.\n* Sie können sich beraten lassen.\n  Beraten lassen bedeutet:\n  Sie bekommen von einem Mitarbeiter oder einer Mitarbeiterin Informationen.\n  Die Informationen sind gut verständlich.\n  Die Informationen sind so, dass Sie sie gut gebrauchen können.\n  Zum Beispiel:\n  Sie wollen wissen:\n  Wie komme ich mit dem Bus zum Rathaus?\n  Dann sagt Ihnen der Mitarbeiter oder die Mitarbeiterin das.\n  Und der Mitarbeiter oder die Mitarbeiterin sagt Ihnen das so, dass Sie es gut verstehen.\n  Und der Mitarbeiter oder die Mitarbeiterin sagt Ihnen das so, dass Sie es gut gebrauchen können.
In der Stadt-Information im Rathaus erhalten Sie Prospekte, Informationsmaterial und Formulare zu unterschiedlichen Themen. Die Mitarbeiter stehen den Besucherinnen und Besucher mit Rat und Hilfeleistung verschiedenster Art zur Verfügung.;Die Stadt-Information ist im Rathaus.\nDie Stadt-Information ist im Erd-Geschoss.\nDas Erd-Geschoss ist das unterste Geschoss.\nDas Erd-Geschoss ist das Geschoss, in das man zuerst hinein kommt.\nDie Stadt-Information ist im Bürger-Büro.\nDas Bürger-Büro ist im Rathaus.\nDas Bürger-Büro ist im Erd-Geschoss.\nDas Bürger-Büro ist im Raum E 0.01.
Bei der Behördennummer wird der persönliche Kontakt groß geschrieben. Von Montag bis Freitag, 8 bis 18 Uhr, können den Mitarbeitenden der 115-Servicecenter Fragen gestellt werden. Die meisten Anliegen werden direkt beantwortet. Falls dies einmal nicht möglich ist, verspricht die 115 eine schnelle Rückmeldung.;Die Behörden-Nummer 115 ist ein Service.\nDas bedeutet:\nDie Mitarbeiter und Mitarbeiterinnen von der Behörden-Nummer 115 helfen Ihnen.\nDie Mitarbeiter und Mitarbeiterinnen von der Behörden-Nummer 115 beantworten Ihre Fragen.\nDie Mitarbeiter und Mitarbeiterinnen von der Behörden-Nummer 115 sagen Ihnen:\nWelche Unterlagen Sie brauchen.\nWelche Stelle Ihnen helfen kann.\nWelche Stelle Sie besuchen müssen.\nWelche Stelle Sie anrufen müssen.\nWelche Stelle Sie anschreiben müssen.\nWelche Stelle Sie eine E-Mail schreiben müssen.\nWelche Stelle Sie ein Fax schicken müssen.\nDie Mitarbeiter und Mitarbeiterinnen von der Behörden-Nummer 115 sagen Ihnen auch:\nWas Sie beachten müssen.\nWas etwas kostet.\nWas Sie mitbringen müssen.\nWas Sie sagen müssen.\nWas Sie in einen Brief schreiben müssen.\nWas Sie in eine E-Mail schreiben müssen.\nWas Sie in ein Fax schreiben müssen.\nDie Mitarbeiter und Mitarbeiterinnen von der Behörden-Nummer 115 sagen Ihnen auch:\nWann die Stelle geöffnet ist.\nWie Sie zu der Stelle kommen.\nWie Sie mit Bus und Bahn zu der Stelle kommen.\nWie Sie mit dem Auto zu der Stelle kommen.\nWie Sie mit dem Fahrrad zu der Stelle kommen.
Mit einer leicht zu merkenden Rufnummer erhalten Bürger*innen bundesweit einen direkten Draht zur Verwaltung. Wird eine Frage wie z.B. zum Wohnsitz anmelden, Ausweis beantragen oder Fahrzeug ummelden, gestellt, beantworten die Mitarbeitenden des Service-Centers der Landeshauptstadt München gerne Ihre Anliegen.;Die Stadt-Verwaltung hat eine Telefon-Nummer.\nDie Telefon-Nummer ist:\n115\nDie Telefon-Nummer ist für alle Bürger und Bürgerinnen.\nMan kann dort alle Fragen stellen.\nZum Beispiel:\n* Wo ist das Bürger-Büro?\n* Wann hat das Bürger-Büro geöffnet?\n* Was muss ich mitbringen, wenn ich einen Personal-Ausweis beantragen will?\n* Wie viel kostet ein Personal-Ausweis?\n* Wie lange dauert es, bis ich den Personal-Ausweis abholen kann?\n* Kann ich meinen Hund im Bürger-Büro mitbringen?\n* Kann ich im Bürger-Büro mit Karte bezahlen?
Komplexere Anfragen werden durch ein eigens dafür eingerichtetes Back-Office bearbeitet oder an die Fachbereiche weitergeleitet und es erfolgt eine Rückmeldung.;Das Büro für Leichte Sprache ist im Sozial-Referat.\nDas Sozial-Referat ist ein Amt von der Landes-Haupt-Stadt München.\nEin Amt ist eine Behörde.\nEine Behörde ist eine Verwaltung.\nIn einer Verwaltung arbeiten viele Menschen.\nDie Menschen arbeiten zum Beispiel in Büros.\nDie Menschen arbeiten für die Stadt-Verwaltung.\nDie Stadt-Verwaltung ist für die Bürger da.\nBürger sind zum Beispiel:\n* Kinder\n* Jugendliche\n* Erwachsene\n* Senioren\n* Menschen mit Behinderung\n* Menschen mit Migrations-Hintergrund\n* Menschen mit wenig Geld
