to_translate;translation
Öffentliche Stellen sind gemäß der Richtlinie (EU) 2016/2102 des Europäischen Parlaments dazu verpflichtet, Webauftritte barrierefrei zugänglich zu machen.;
Was ist Barrierefreiheit im Internet?;
Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts und konnte aufgrund der Fülle des Materials und der Komplexität der Site noch nicht alle Inhalte und Services digital barrierefrei gestalten.;
Sie können Mängel bei der Einhaltung der Anforderungen an die Barrierefreiheit mitteilen oder Informationen, die nicht barrierefrei dargestellt werden müssen, barrierefrei anfordern.;
Durchsetzungsverfahren\n\nBleibt eine Anfrage an die Kontaktstelle innerhalb von sechs Wochen ganz oder teilweise unbeantwortet, prüft die zuständige Aufsichtsbehörde auf Antrag der betroffenen Nutzer*innen, ob im Rahmen der Überwachung gegenüber den Betreibern des Webangebots Maßnahmen erforderlich sind. Die für das Durchsetzungsverfahren zuständigen Aufsicht ist das Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de;
Die behördliche Datenschutzbeauftragte ist zuständig für alle Fragen zur Einhaltung der datenschutzrechtlichen Bestimmungen durch die Landeshauptstadt München.;
Worum geht es beim Datenschutz?;
Was ist der Ukrainekrieg?;
Wie kann ich helfen?;
In der Stadt-Information im Rathaus erhalten Sie neben Printmedien, Rat und Hilfeleistung verschiedenster Art.;
In der Stadt-Information am Marienplatz erhalten Sie Prospekte, Informationsmaterial und Formulare zu unterschiedlichen Themen.;
Die Mitarbeiter von der Stadt-Information beraten Sie.;
Wo ist die Stadt-Information?;
Schneller zur gewünschten Auskunft: Die Mitarbeitenden des Service-Centers der Landeshauptstadt München beantworten am Telefon gerne Ihre Anliegen.;
Was ist die 115?;
Mit einer leicht zu merkenden Rufnummer erhalten Bürger*innen bundesweit einen direkten Draht zur Verwaltung. Wird eine Frage wie z.B. zum Wohnsitz anmelden, Ausweis beantragen oder Fahrzeug ummelden, gestellt, beantworten die Mitarbeitenden des Service-Centers der Landeshauptstadt München gerne Ihre Anliegen. Komplexere Anfragen werden durch ein eigens dafür eingerichtetes Back-Office bearbeitet oder an die Fachbereiche weitergeleitet und es erfolgt eine Rückmeldung. Ziel der 115 ist es, Bürger*innen und Unternehmen mit einem Anruf bei der öffentlichen Verwaltung verlässliche Auskünfte zu bieten. Unabhängig von lokalen und verwaltungsinternen Zuständigkeiten erhalten Anrufende schnelle Auskünfte und Hilfestellungen bei Angelegenheiten, die die öffentliche Verwaltung betreffen.;
Öffentliche Stellen sind gemäß der Richtlinie (EU) 2016/2102 des Europäischen Parlaments dazu verpflichtet, Webauftritte barrierefrei zugänglich zu machen.;Die Regel von der Europa-Gruppe (EU) Nummer 2016/2102 sagt: Alle Stellen von der Stadt oder dem Land müssen ihre Webseiten so machen, dass jeder die Webseite nutzen kann.
Was ist Barrierefreiheit im Internet?;Was bedeutet: Das Internet ist ohne Hindernisse?\n\nIm Internet gibt es viele Informationen. Manchmal ist es schwer, diese Informationen zu finden und zu verstehen. Wenn das Internet ohne Hindernisse ist, dann bedeutet das: \n\nAlle Menschen können die Informationen im Internet finden. Und sie können die Informationen verstehen. Zum Beispiel Menschen mit Behinderung oder alte Menschen. Auch Menschen, die nicht so gut lesen können, oder die unsere Sprache erst lernen. \n\nEin Internet ohne Hindernisse ist wichtig. Weil dann alle Menschen die gleichen Chancen haben. Sie können sich informieren und mit anderen Menschen sprechen. Deshalb arbeiten viele Menschen daran, das Internet besser zu machen. Ohne Hindernisse. \n\nDas schwere Wort dafür ist: Barrierefreiheit im Internet.
Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts und konnte aufgrund der Fülle des Materials und der Komplexität der Site noch nicht alle Inhalte und Services digital barrierefrei gestalten.;Die Stadt München macht ihre Internet-Seite immer besser. Aber es gibt sehr viele Informationen und die Seite ist kompliziert. Darum sind noch nicht alle Sachen und Dienste ganz einfach zu nutzen.
Sie können Mängel bei der Einhaltung der Anforderungen an die Barrierefreiheit mitteilen oder Informationen, die nicht barrierefrei dargestellt werden müssen, barrierefrei anfordern.;Sie können uns sagen, wenn etwas nicht barrierefrei ist. Oder Sie können Informationen, die nicht barrierefrei sind, in barrierefreier Form bei uns anfordern.
Durchsetzungsverfahren\n\nBleibt eine Anfrage an die Kontaktstelle innerhalb von sechs Wochen ganz oder teilweise unbeantwortet, prüft die zuständige Aufsichtsbehörde auf Antrag der betroffenen Nutzer*innen, ob im Rahmen der Überwachung gegenüber den Betreibern des Webangebots Maßnahmen erforderlich sind. Die für das Durchsetzungsverfahren zuständigen Aufsicht ist das Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de;Das Verfahren, wenn jemand nicht antwortet\n\nManchmal fragen Nutzer*innen etwas bei der Kontaktstelle. Wenn die Kontaktstelle nicht innerhalb von 6 Wochen antwortet, können die Nutzer*innen das an eine Aufsichts-Behörde melden. Die Aufsichts-Behörde prüft dann, ob sie gegen die Betreiber des Internet-Angebots vorgehen müssen.\n\nDie Behörde, die das macht, heißt Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de.
Die behördliche Datenschutzbeauftragte ist zuständig für alle Fragen zur Einhaltung der datenschutzrechtlichen Bestimmungen durch die Landeshauptstadt München.;Die Person, die sich bei der Stadt München um den Datenschutz kümmert, ist für alle Fragen zuständig. Es geht um Fragen, ob die Stadt München die Regeln zum Datenschutz einhält.
Worum geht es beim Datenschutz?;Datenschutz bedeutet:\nIhre privaten Daten sind sicher.\nNiemand darf sie ohne Erlaubnis sehen oder verwenden.
Was ist der Ukrainekrieg?;Der Ukraine-Krieg ist ein Streit zwischen 2 Ländern.\nDie Länder sind Russland und die Ukraine.\nDer Streit hat im Jahr 2014 angefangen. Seitdem gibt es Kämpfe.\nViele Menschen haben Angst.\nViele Menschen sind gestorben oder mussten ihre Häuser verlassen.
Wie kann ich helfen?;Wie kann ich etwas Gutes tun?
In der Stadt-Information im Rathaus erhalten Sie neben Printmedien, Rat und Hilfeleistung verschiedenster Art.;Sie können zur Stadt-Information im Rathaus gehen. Dort bekommen Sie Zeitschriften, Ratschläge und Hilfe in vielen Formen.
In der Stadt-Information am Marienplatz erhalten Sie Prospekte, Informationsmaterial und Formulare zu unterschiedlichen Themen.;Sie bekommen in der Stadt-Information am Marienplatz viele Infos. Dort gibt es zum Beispiel Hefte, Infos und Zettel zu verschiedenen Sachen.
Die Mitarbeiter von der Stadt-Information beraten Sie.;Die Menschen, die in der Stadt-Info arbeiten, helfen Ihnen.
Wo ist die Stadt-Information?;Wo finde ich die Auskunft von der Stadt?
Schneller zur gewünschten Auskunft: Die Mitarbeitenden des Service-Centers der Landeshauptstadt München beantworten am Telefon gerne Ihre Anliegen.;Wenn Sie etwas wissen wollen: Die Leute vom Service-Center der Stadt München helfen Ihnen gerne am Telefon.
Was ist die 115?;Die 115 ist eine Telefon-Nummer.\nWenn Sie Fragen haben, können Sie diese Nummer anrufen.\nZum Beispiel, wenn Sie etwas von der Stadt oder Gemeinde wissen wollen.\nDie 115 ist für alle da und hilft Ihnen weiter.
Mit einer leicht zu merkenden Rufnummer erhalten Bürger*innen bundesweit einen direkten Draht zur Verwaltung. Wird eine Frage wie z.B. zum Wohnsitz anmelden, Ausweis beantragen oder Fahrzeug ummelden, gestellt, beantworten die Mitarbeitenden des Service-Centers der Landeshauptstadt München gerne Ihre Anliegen. Komplexere Anfragen werden durch ein eigens dafür eingerichtetes Back-Office bearbeitet oder an die Fachbereiche weitergeleitet und es erfolgt eine Rückmeldung. Ziel der 115 ist es, Bürger*innen und Unternehmen mit einem Anruf bei der öffentlichen Verwaltung verlässliche Auskünfte zu bieten. Unabhängig von lokalen und verwaltungsinternen Zuständigkeiten erhalten Anrufende schnelle Auskünfte und Hilfestellungen bei Angelegenheiten, die die öffentliche Verwaltung betreffen.;Es gibt eine Telefonnummer, die man leicht merken kann. Diese Nummer ist überall in Deutschland gleich. Menschen können diese Nummer anrufen, wenn sie Fragen an die Stadt-Verwaltung haben. \n\nSie können zum Beispiel fragen:\n* Wie melde ich mich an einem neuen Wohnort an?\n* Wie beantrage ich einen Ausweis?\n* Wie melde ich ein Auto um?\n\nDie Arbeiter und Arbeiterinnen im Service-Center der Stadt München antworten gerne auf diese Fragen. Sie helfen, wenn sie können.\n\nManche Fragen sind schwieriger. Diese Fragen beantwortet eine besondere Abteilung. Oder die Fragen gehen an andere Fach-Bereiche in der Verwaltung. Dann bekommen die Anrufer und Anruferinnen eine Antwort.\n\nDie Telefonnummer 115 hat ein Ziel: Sie will, dass alle Menschen und alle Firmen mit einem Anruf eine gute Antwort bekommen. Es ist egal, wo sie anrufen. Und es ist egal, wer eigentlich für die Frage zuständig ist. Die Anrufer und Anruferinnen bekommen schnell Hilfe für ihre Angelegenheiten mit der öffentlichen Verwaltung.
Das 115-Gebärdentelefon hat sich als weiterer Zugang zu den Leistungen der öffentlichen Verwaltung etabliert. Mit Hilfe des 115-Gebärdentelefons können Sie die Behördennummer 115 auch nutzen, wenn Sie gehörlos oder hörgeschädigt sind. Gehörlose und hörgeschädigte Beraterinnen und Berater beantworten Ihnen gerne Ihre Fragen zu Leistungen der öffentlichen Verwaltung.;Das Telefon mit Gebärden-Sprache hat die Nummer 115. Sie können es gut verwenden, wenn Sie die Hilfe von der Regierung oder Stadt brauchen. Mit dem Telefon mit Gebärden-Sprache 115 kann man auch telefonieren, wenn man nichts hören oder schlecht hören kann. Menschen, die selbst nichts hören oder schlecht hören können, helfen Ihnen am Telefon. Sie antworten auf Ihre Fragen zu Sachen, die die Regierung oder Stadt für Sie tut.
Die 115 erteilt ausschließlich behördliche Auskünfte. Fragen zu wie z.B. Wegbeschreibungen, Wetterauskünften oder touristischen Informationen können unter der 115 nicht erteilt werden.;Die Telefonnummer 115 gibt nur Informationen von Behörden. Du kannst hier keine Antworten zu Sachen wie Weg-Beschreibungen, Wetter oder Infos für Touristen bekommen.
Bei der Behördennummer wird der persönliche Kontakt groß geschrieben. Von Montag bis Freitag, 8 bis 18 Uhr, können den Mitarbeitenden der 115-Servicecenter Fragen gestellt werden. Die meisten Anliegen werden direkt beantwortet. Falls dies einmal nicht möglich ist, verspricht die 115 eine schnelle Rückmeldung.;Die Behördennummer ist wichtig, weil man dort mit echten Menschen redet. Sie arbeiten beim 115-Servicecenter. Von Montag bis Freitag, von 8 Uhr bis 18 Uhr, darf man ihnen Fragen stellen. Sie beantworten die meisten Fragen sofort. Manchmal geht das nicht. Dann sagen sie schnell Bescheid, wann sie die Antwort wissen.
Die Sozialbürgerhäuser sind Ihr wohnortnaher Ansprechpartner für soziale Angebote und Leistungen.;Die Sozialbürgerhäuser sind in Ihrer Nähe.\nSie helfen Ihnen bei Sachen, die sozial sind.\nSie geben Ihnen zum Beispiel Geld.\nOder sie sagen Ihnen, wo Sie Hilfe bekommen.
Hilfe und Angebote in den Sozialbürgerhäusern;Hier können Sie Hilfe bekommen: In den Häusern für Soziales.
Hilfe und Angebote in den Sozialbürgerhäusern;Unterstützung und Angebote in den Bürger-Häusern für soziale Fragen.
Ich kenne jemanden der Hilfe braucht.;Ich weiß, eine Person braucht Hilfe.
Hilfe und Angebote in den Sozialbürgerhäusern;Unterstützung und Dienstleistungen in den Sozial-Bürger-Häusern.
Hilfe und Angebote in den Sozialbürgerhäusern;In den Sozialbürgerhäusern gibt es Unterstützung und verschiedene Möglichkeiten für Sie.
Hilfe und Angebote in den Sozialbürgerhäusern;
Öffnungszeiten Sozialbürgerhäuser;
Sozialbürgerhaus Gehörlose;
Terminvereinbarung für Bürgerbüros;
Wie kann ich einen Termin in einem Bürgerbüro vereinbaren?;
Vorbereitung Termin Bürgerbüro;
Termin Bürgerbüro;
Fahrzeug und Zulassung\nPapiere, Kennzeichen, Umweltplakette: Die wichtigsten Informationen zum An- und Ummelden eines Fahrzeuges.;
Adresse Zulassungsstelle;Adresse von dem Ort, wo man sein Auto anmeldet.
Termin Zulassungsstelle;
Fahrerlaubnis und Führerschein\nAntrag, Änderung oder Verlust der Fahrerlaubnis: Alles, was Sie zum Thema Führerschein wissen müssen.;
Bei der Führerscheinstelle brauchen Sie einen Termin;
Wie geht Heiraten beim Münchner Standesamt? Alles was Sie zu Terminen, Trausälen und dem Ablauf der Zeremonie wissen müssen.;
Heiraten beim Standesamt München\nWenn Sie beim Standesamt München heiraten wollen, müssen Sie zuvor Ihre Eheschließung anmelden. Dies ist nur möglich, wenn Sie beide oder einer von Ihnen mit Haupt- oder Nebenwohnung in München gemeldet sind. Für die Münchner Stadtbezirke 21 (Pasing - Obermenzing),  22 (Aubing - Lochhausen - Langwied) und 23 (Allach - Untermenzing) ist das Standesamt München-Pasing zuständig.;
Trausäle und Termine für Ihre Hochzeit\n\nRuppertstraße 11\nIm Kreisverwaltungsreferat in der Ruppertstraße stehen Ihnen zwei moderne Trausäle zur Verfügung. \nPersonenhöchstgrenze einschließlich Hochzeitspaar und Trauzeug*innen: 30 Personen\nTermine unter der Woche:\n* Montag und Mittwoch von 8.45 bis 12 Uhr,\n* Dienstag von 9 bis 16.45 Uhr,\n* Donnerstag von 10.30 bis 15 Uhr,\n* Freitag von 8.45 bis 12 Uhr und von 13.30 bis 15.45 Uhr,\n* an Samstagen von 8.45 bis 12 Uhr.;
Wie erreiche ich das Standesamt?;
Die Heimaufsicht ist für alle städtischen Pflege- und Behinderteneinrichtungen zuständig.;
Die FQA (Fachstelle für Pflege- und Behinderteneinrichtungen - Qualitätsentwicklung und Aufsicht - ehemals Heimaufsicht) ist zuständig für alle stationären Alten- und Behindertenhilfeeinrichtungen, Hospize sowie für die ambulant betreuten Wohngemeinschaften der Altenhilfe und die betreuten Wohngruppen der Behindertenhilfe in der Landeshauptstadt München.\n\nWir handeln unabhängig auf der Grundlage des gesetzlichen Auftrages und stellen den Schutz der Bewohnerinnen und Bewohner in den Einrichtungen der Alten- und Behindertenhilfe in den Mittelpunkt unserer Arbeit. Wir arbeiten qualifiziert, praxisorientiert und auf dem aktuellen Stand fachlicher Erkenntnisse.\n\nWir sind ein professionelles Team aus erfahrenen Mitarbeiterinnen und Mitarbeitern, die Ihnen gerne vertraulich in Fragen bei der pflegerischen und betreuerischen Versorgung in Einrichtungen weiterhelfen.;
Wir, die Heimaufsicht,\n* beraten Bewohnerinnen und Bewohner, Angehörige und Einrichtungen\n* sorgen für die Einhaltung festgelegter Qualitätsstandards in der Pflege und Betreuung\n* suchen jede Einrichtung mehrmals im Jahr auf\n* gehen Beschwerden umgehend nach\n* führen anlassbezogene und unangemeldete Kontrollen durch;
Öffentliche Stellen sind gemäß der Richtlinie (EU) 2016/2102 des Europäischen Parlaments dazu verpflichtet, Webauftritte barrierefrei zugänglich zu machen.;Ein Gesetz aus Europa sagt: Alle öffentlichen Stellen müssen ihre Internet-Seiten so machen, dass alle Menschen sie nutzen können. Auch Menschen mit Behinderungen. Das nennt man barrierefrei.
Was ist Barrierefreiheit im Internet?;Was bedeutet: Das Internet ist für alle leicht zu benutzen?\n\nManche Menschen können nicht gut sehen oder hören. Manche Menschen haben Probleme beim Lernen. Diese Menschen brauchen besondere Hilfen, um das Internet zu benutzen.\n\nDas Internet ist für alle leicht zu benutzen, wenn es \
Die Stadt München arbeitet beständig an der Verbesserung ihres Webauftritts und konnte aufgrund der Fülle des Materials und der Komplexität der Site noch nicht alle Inhalte und Services digital barrierefrei gestalten.;Die Stadt München arbeitet immer daran, ihre Internetseite besser zu machen. Es gibt viele Informationen und die Internetseite ist sehr groß. Deshalb sind noch nicht alle Teile und Angebote auf der Internetseite so gemacht, dass alle Menschen sie gut benutzen können.
Sie können Mängel bei der Einhaltung der Anforderungen an die Barrierefreiheit mitteilen oder Informationen, die nicht barrierefrei dargestellt werden müssen, barrierefrei anfordern.;Sie können uns sagen, wenn etwas nicht barrierefrei ist. Oder Sie können Informationen, die nicht barrierefrei gemacht werden müssen, in barrierefreier Form bei uns anfordern.
Durchsetzungsverfahren\n\nBleibt eine Anfrage an die Kontaktstelle innerhalb von sechs Wochen ganz oder teilweise unbeantwortet, prüft die zuständige Aufsichtsbehörde auf Antrag der betroffenen Nutzer*innen, ob im Rahmen der Überwachung gegenüber den Betreibern des Webangebots Maßnahmen erforderlich sind. Die für das Durchsetzungsverfahren zuständigen Aufsicht ist das Landesamt für Digitalisierung, Breitband und Vermessung:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de;Anfrage-Verfahren\n\nWenn eine Frage an den Kontakt-Punkt länger als 6 Wochen nicht beantwortet wird:\nDann können Nutzerinnen und Nutzer Hilfe bei der Kontroll-Stelle beantragen.\nDie Kontroll-Stelle schaut dann, ob sie den Webseiten-Betreiber kontaktieren muss.\n\nDie Stelle, die für das Verfahren zuständig ist, heißt:\nLandesamt für Digitalisierung, Breitband und Vermessung. \n\nDas Landesamt für Digitalisierung, Breitband und Vermessung ist hier:\n\nLandesamt für Digitalisierung, Breitband und Vermessung\nAlexandrastraße 4\n80538 München\nTelefon: 089 2129-1111\nFax: 089 2129-1113\nE-Mail: service@geodaten.bayern.de.
Die behördliche Datenschutzbeauftragte ist zuständig für alle Fragen zur Einhaltung der datenschutzrechtlichen Bestimmungen durch die Landeshauptstadt München.;Die Person, die bei der Stadt München für den Datenschutz zuständig ist, kümmert sich um alle Fragen. Es geht darum, dass die Stadt München die Regeln zum Datenschutz einhält.
Worum geht es beim Datenschutz?;Datenschutz heißt: \nIhre Daten werden geschützt. \nDas sind Daten, die über Sie etwas sagen.\nZum Beispiel Ihren Namen.\nOder wo Sie wohnen.\nDiese Daten darf nicht jeder sehen.\nUnd damit machen, was er will.\nDas soll der Datenschutz sicher machen.
Was ist der Ukrainekrieg?;Der Ukraine-Krieg ist ein großer Streit. Dieser Streit ist in dem Land Ukraine. Die Ukraine ist ein Land in Europa. In diesem Streit kämpfen Menschen gegeneinander. Einige Menschen wollen, dass die Ukraine zu Russland gehört. Andere Menschen wollen das nicht. Sie wollen, dass die Ukraine ein unabhängiges Land bleibt. Dieser Streit dauert schon seit dem Jahr 2014. Viele Menschen haben Angst oder sind sogar gestorben. Es ist sehr traurig und kompliziert.
Wie kann ich helfen?;Wie kann ich euch unterstützen?
In der Stadt-Information im Rathaus erhalten Sie neben Printmedien, Rat und Hilfeleistung verschiedenster Art.;Im Rathaus gibt es eine Stadt-Information. Dort bekommen Sie viele Sachen aus Papier. Und die Leute dort helfen Ihnen bei vielen Sachen.
In der Stadt-Information am Marienplatz erhalten Sie Prospekte, Informationsmaterial und Formulare zu unterschiedlichen Themen.;Sie bekommen Infos, Hefte und Blätter zu verschiedenen Themen in der Info-Stelle am Marienplatz.
Die Mitarbeiter von der Stadt-Information beraten Sie.;Die Leute von der Stadt-Info helfen Ihnen.
Wo ist die Stadt-Information?;Wo finde ich die Info über die Stadt?
Schneller zur gewünschten Auskunft: Die Mitarbeitenden des Service-Centers der Landeshauptstadt München beantworten am Telefon gerne Ihre Anliegen.;Die Personen im Hilfe-Zentrum von der Stadt München helfen Ihnen gerne. Sie können dort anrufen und Ihre Fragen stellen. Dort wird man Ihnen schnell helfen.
Was ist die 115?;Die 115 ist eine Telefon-Nummer. Wenn Sie Fragen haben, können Sie diese Nummer anrufen. Zum Beispiel: Sie haben Fragen zur Stadt oder zur Gemeinde. Oder Sie haben Fragen zum Passamt oder Rathaus. Dann können Sie die 115 anrufen und Ihre Fragen stellen.\n
