precision;recall;f1
0,623170137;0,602069974;0,612438321
0,678384364;0,72159332;0,699322045
0,642429113;0,532787323;0,582493722
0,650007725;0,594342709;0,620930135
0,655438244;0,574275434;0,612178385
0,685995817;0,564940572;0,619610846
0,664143384;0,472582161;0,552221835
0,633261442;0,582619071;0,606885612
0,670056462;0,572522223;0,617461443
0,678160846;0,637001872;0,656937361
0,668539822;0,554541171;0,606227815
0,742882609;0,763287902;0,752947032
0,697628736;0,692970276;0,695291698
0,694661379;0,610896885;0,650092006
0,661254644;0,655295134;0,658261418
0,690050364;0,675871015;0,682887077
0,774629414;0,757599771;0,76601994
0,69743818;0,593641639;0,641367555
0,673624873;0,677559733;0,675586581
0,704477191;0,634021699;0,667395175
0,636933148;0,562314808;0,597302556
0,678250313;0,606473386;0,640356779
0,661398888;0,626685381;0,643574357
0,651089013;0,649036288;0,650061011
0,655270875;0,712684155;0,682772696
0,668480098;0,679653287;0,67402041
0,675846338;0,661150992;0,668417931
0,757778764;0,749464452;0,75359869
0,638770819;0,68268466;0,659998059
0,705516458;0,73919332;0,721962392
0,635847449;0,610409915;0,622869134
0,714524984;0,707678497;0,71108526
0,660257101;0,576236546;0,615392268
0,631103098;0,589045942;0,609349668
0,640129745;0,609586239;0,624484718
0,793266356;0,738713205;0,765018463
0,644619226;0,578909814;0,610000014
0,666213274;0,687154889;0,676522076
0,655079782;0,625407398;0,63989979
0,680170119;0,682353377;0,68125993
0,761683941;0,718920052;0,739684403
0,655038357;0,671202958;0,663022161
0,660534859;0,597435296;0,627402544
0,62399894;0,60378015;0,61372304
0,666214347;0,619550884;0,642035902
0,638241291;0,629267871;0,633722782
0,671759605;0,617994845;0,643756628
0,645426571;0,68347609;0,663906574
0,620859206;0,624204159;0,622527242
0,683119953;0,613657236;0,646528125
0,741418421;0,644773304;0,68972683
0,729402184;0,66403687;0,695186377
0,642238498;0,640783548;0,641510189
0,645287633;0,692388713;0,668008924
0,751971364;0,753935337;0,752952099
0,683298886;0,58018142;0,627532244
0,703710139;0,605111539;0,650696933
0,678007543;0,661994398;0,669905305
0,713510752;0,781587958;0,745999455
0,77485919;0,890668929;0,828737736
0,763673186;0,726751626;0,74475503
0,621619523;0,677226663;0,648232758
0,684848905;0,707810163;0,696140289
0,684112847;0,676763415;0,680418253
0,582184494;0,701306224;0,636217475
0,642321289;0,596985817;0,618824303
0,65448153;0,703660607;0,678180695
0,682553053;0,559469819;0,614912689
0,729557514;0,66915673;0,698052943
0,652811348;0,752142787;0,698965669
0,769838214;0,757424772;0,763581097
0,623573065;0,565859556;0,593316138
0,721876562;0,637851238;0,677267671
0,690542221;0,729606271;0,70953697
0,711886466;0,681010246;0,696106195
0,67123431;0,712166965;0,691095054
0,759914577;0,71851927;0,738637447
0,825187981;0,813230813;0,819165766
0,666740119;0,551582992;0,603719175
0,697090328;0,687577188;0,692301095
0,599210978;0,795737982;0,683630645
0,702337265;0,571416616;0,630148709
0,790291488;0,60134691;0,682992578
0,667312324;0,524186313;0,587153018
0,686056733;0,558591306;0,615797102
0,752432466;0,671870708;0,709873199
0,663008332;0,676336169;0,669605911
0,657616198;0,641879559;0,64965266
0,686045408;0,622353911;0,652649403
0,706202149;0,659715533;0,682167768
0,717953324;0,667670965;0,691899776
0,671440661;0,65202558;0,661590636
0,710914791;0,652779341;0,680607855
0,736152172;0,703950822;0,719691455
0,648783028;0,597277999;0,621966004
0,577042639;0,715958357;0,639038205
0,779181659;0,687741816;0,730611801
0,673412442;0,632121563;0,652114034
0,646860003;0,622988343;0,634699762
0,711472511;0,678059638;0,694364369
0,71886754;0,748534501;0,73340112
