precision;recall;f1
0,81814009;0,768888235;0,792749941
0,747442365;0,836988032;0,789684832
0,69024837;0,605337381;0,645010412
0,675922692;0,660132289;0,667934179
0,692562819;0,751659632;0,720902145
0,706501007;0,726148963;0,716190279
0,699239373;0,709260941;0,704214513
0,789241672;0,787954152;0,788597345
0,693278849;0,674527884;0,683774889
0,621279359;0,6702618;0,64484179
0,743851125;0,570596993;0,645805955
0,575782359;0,730514467;0,643984318
0,636087596;0,760371327;0,692698956
0,754568219;0,749295473;0,751922667
0,668247521;0,716636181;0,691596508
0,730816543;0,695551813;0,71274823
0,750740469;0,820149541;0,783911586
0,701678395;0,621290624;0,659042239
0,684655964;0,657397747;0,670750082
0,684624135;0,702028394;0,693217039
0,74619472;0,746530652;0,746362627
0,707550585;0,742315292;0,724516213
0,700798631;0,756665647;0,72766149
0,689190388;0,758552969;0,72220999
0,683770061;0,623362482;0,652170479
0,741743565;0,655198097;0,695789933
0,707741916;0,720171213;0,713902414
0,637129128;0,755142093;0,691134036
0,748118699;0,815511584;0,780362844
0,737036049;0,781821549;0,758768499
0,742617607;0,639864802;0,687422693
0,830985308;0,838675618;0,83481276
0,707560062;0,764356136;0,734862328
0,75746572;0,736359835;0,746763647
0,745742679;0,775796175;0,760472596
0,589758456;0,615530968;0,602369189
0,749627829;0,753636599;0,751626849
0,702952743;0,745063126;0,723395586
0,716934621;0,721422017;0,719171286
0,650332272;0,678117812;0,663934469
0,784884393;0,76261729;0,773590624
0,70280242;0,723859549;0,713175595
0,72355777;0,750303984;0,736688256
0,666678071;0,635692775;0,650816858
0,685252488;0,631848276;0,657467663
0,712735951;0,684795141;0,698486269
0,701941013;0,70323962;0,702589691
0,702737331;0,565279245;0,626557767
0,676625967;0,737316906;0,705668986
0,697272182;0,714081347;0,705576658
0,802214026;0,619162202;0,698900998
0,754328609;0,705159307;0,728915751
0,740638316;0,76668632;0,753437161
0,581744015;0,685920656;0,629551709
1,000000119;1,000000119;1,000000119
0,798816621;0,744743764;0,770833075
0,738201976;0,771289468;0,754383087
0,72023505;0,764946222;0,74191761
0,90386039;0,947303534;0,925072253
0,684180319;0,83610338;0,752551019
0,722172976;0,817229867;0,766766608
0,650720119;0,675027013;0,662650764
0,732953489;0,761840343;0,747117758
0,715599;0,733609974;0,72449261
0,99999994;0,99999994;0,99999994
0,696006775;0,732102513;0,71359849
0,696563303;0,708595753;0,702528059
0,80824703;0,676530123;0,736546159
0,720704794;0,737548888;0,729029536
1;1;1
0,758641779;0,727711916;0,742855012
0,739488006;0,783426702;0,760823548
0,711112618;0,615386844;0,659795761
0,699500978;0,746270001;0,722128987
0,750154138;0,729519188;0,739692748
0,607619524;0,621674061;0,614566445
0,799332142;0,788431644;0,793844461
0,865549803;0,831380844;0,848121285
0,740134716;0,699890733;0,719450355
0,836499512;0,843366742;0,839919031
1;1;1
0,79625994;0,700014472;0,745041788
0,819268346;0,603903472;0,695290625
0,721063673;0,500502348;0,590871155
0,758099616;0,699708343;0,727734506
0,881113052;0,832326531;0,856025219
0,70310843;0,683872044;0,693356812
0,712850869;0,736576915;0,72451967
0,694570482;0,760955751;0,726249218
0,846792758;0,876327813;0,861307144
0,716574669;0,711047173;0,713800192
0,696428537;0,711125493;0,703700304
0,757078469;0,726928234;0,741697133
0,591894269;0,629396141;0,610069454
0,731515169;0,77642417;0,753300905
0,999999881;0,999999881;0,999999881
0,771453381;0,803354681;0,787080884
0,68819654;0,72188282;0,704637289
0,736477554;0,677717984;0,705877066
0,787549138;0,782622755;0,785078228
0,967905223;0,981820524;0,974813223
0,764637589;0,745955527;0,755181015
0,908404171;0,89417237;0,901232123
0,716520309;0,741896272;0,728987515
0,688511133;0,752089322;0,718897283
0,744847894;0,609409332;0,670356035
0,757739544;0,747641265;0,752656519
0,719275177;0,708011746;0,713599086
0,677292109;0,711161852;0,69381386
0,650063992;0,768320203;0,704262376
0,834636629;0,776485145;0,804511487
0,745366752;0,71793294;0,731392682
0,742247641;0,817354023;0,777992368
0,720120788;0,769402683;0,743946493
0,772485614;0,737511277;0,754593432
0,744929731;0,782585025;0,763293266
0,824240208;0,909998059;0,864998758
0,912759185;0,912759185;0,912759185
0,99999994;0,99999994;0,99999994
0,786242008;0,763612807;0,774762273
0,819021523;0,814424038;0,816716313
0,702833474;0,732004821;0,717122614
0,737107694;0,758521795;0,747661412
0,750588953;0,709998429;0,729729652
0,891990662;0,826763272;0,858139277
0,764748216;0,78840673;0,776397288
0,662890017;0,759691715;0,707997441
0,700902998;0,542871535;0,611847699
0,689379692;0,756279111;0,721281469
0,74753052;0,713893533;0,730324864
0,689613342;0,567733705;0,622766376
0,689483941;0,675850332;0,682599068
0,745749712;0,743110061;0,744427562
0,771056056;0,783104718;0,777033687
1;1;1
0,705129027;0,721363425;0,713153839
0,678384423;0,62881881;0,65266186
0,787156224;0,686496496;0,733388543
0,804533601;0,672484279;0,732606173
1;1;1
0,755719125;0,669351697;0,709918201
0,796393216;0,698643863;0,744323015
0,707487345;0,71475029;0,71110028
0,689274132;0,739530265;0,713518381
0,786853194;0,787093282;0,786973238
0,706689;0,705451846;0,706069887
1,000000119;1,000000119;1,000000119
0,581022322;0,741305947;0,651449859
0,75461781;0,681565344;0,716233611
0,767733097;0,740288496;0,753761113
0,748138189;0,71520853;0,731302857
0,704088449;0,697120786;0,700587273
0,662697971;0,606085777;0,633128881
0,721362114;0,751005173;0,735885262
0,688452959;0,549213648;0,611000955
0,789622307;0,814938247;0,802080512
0,687091827;0,745298743;0,71501261
0,736139536;0,719821751;0,72788918
0,774360657;0,76239413;0,768330812
0,740153313;0,62224865;0,676099122
0,671014786;0,597046256;0,631873131
0,733957171;0,724864364;0,729382396
0,523232162;0,593048811;0,555957139
0,755929947;0,759412885;0,757667422
1,000000119;1,000000119;1,000000119
0,693142533;0,690467954;0,691802621
0,727995396;0,634814143;0,678219199
1;1;1
0,700375676;0,789368033;0,742213786
0,735133588;0,66688621;0,699348867
