flesch;fkgl
47,79;10,3
53,71;10,1
14,29;17
39,84;11,3
55,54;9,4
37,47;10,1
0,58;16
61,02;7,3
40,69;13,1
60,82;7,4
39,03;11,6
54,39;7,8
52,36;8,6
51,18;11,1
62,68;8,7
85,18;4,2
92,12;3,6
82,34;5,3
72,53;5
66,74;7,2
51,85;8,8
67,96;6,7
68,77;6,4
55,91;7,2
38,21;11,9
46,88;10,7
50,43;9,3
53,55;12,3
41,06;10,8
57,27;8,8
46,78;10,7
92,63;3,4
72,53;5
45,76;11,1
45,96;11
47,79;10,3
43,73;11,9
57,61;10,7
45,46;11,2
60,21;7,6
29,86;13,1
45,12;9,3
47,79;10,3
23,77;15,4
4,82;18,6
-10,42;24,4
4,48;22,8
46,78;10,7
104,64;0,9
89,08;4,8
81,29;3,7
59,3;8
35,51;15
54,22;9,9
34,59;9,2
70,13;8
92,83;3,4
35,98;12,8
56,93;6,8
71,82;5,2
58,28;8,4
29,86;13,1
76,22;5,6
43,73;11,9
55,24;9,5
53,88;8
23,77;15,4
67,76;6,8
72,5;9,1
74,19;6,4
83,66;4,8
42,38;10,3
83,46;4,9
81,63;5,6
97,5;1,6
102,61;1,7
79,94;8,3
79,26;4,4
29,52;11,1
77,27;7,3
79,6;6,4
50,84;9,2
31,55;10,4
41,36;10,7
60,31;7,6
71,1;5,5
57,27;8,8
77,23;5,2
54,08;7,9
48,47;14,2
70,6;5,7
31,89;12,3
55,54;9,4
47,79;10,3
57,98;8,5
52,19;10,7
61,33;7,2
72,16;7,2
66,33;7,3
67,45;6,9
69,79;6
62,68;8,7
66,74;7,2
28,5;11,5
56,25;9,1
48,47;8
33,2;11,8
48,81;9,9
74,9;6,1
75,81;5,8
69,28;6,2
70,19;5,9
41,7;12,7
41,19;12,9
62,34;6,8
32,9;11,9
5,15;14,3
-6,7;14,7
65,73;7,6
74,19;6,4
60,31;7,6
37,3;12,3
-21,24;36,8
17;13,9
41,02;8,8
51,65;8,8
87,72;3,3
89,75;2,5
46,1;13
66,57;9,3
69,28;6,2
83,15;5
39,5;15,6
34,59;9,2
59,97;5,6
41,87;10,5
65,73;7,6
28,33;13,7
75,5;5,9
83,66;4,8
77,23;5,2
58,28;8,4
84,68;4,4
41,03;15
69,28;6,2
43,73;11,9
35,95;10,7
95,17;2,5
102,61;1,7
56,25;9,1
78,25;4,8
81,63;5,6
86,74;5,7
60,51;7,5
71,14;7,6
77,57;7,2
40,01;15,4
51,55;8,9
63,7;8,4
106,67;0,1
40,85;10,9
62,07;9
67,76;6,8
59,64;9,9
81,63;5,6
75,71;5,8
20,68;14,5
42,72;12,3
61,63;7,1
57,67;8,6
