flesch;fkgl
56,35;11,7
55,35;12,1
40,15;15,8
49;13,5
35;16,7
49,45;12,2
37,15;14,8
64,2;9,7
35,15;17,8
36,95;14,9
51,85;13,5
30,6;16,2
58,35;10,9
26,45;19
16,75;20,5
21,6;19,8
58,7;11,9
71,4;9,1
84,95;5
51;12,7
23,15;20,2
58,35;10,9
68,05;9,3
69,25;8,9
24,7;18,5
42,95;14,7
37,4;15,8
55,7;13,1
41;14,4
62,7;10,3
47,5;14,1
72,4;8,8
52,8;12
53,55;12,8
26,75;18,8
25,6;18,2
32,3;17,8
59,55;12,7
53,85;12,7
42,1;14
61,7;10,7
20,4;18
28,15;18,3
28;17,3
41,5;14,2
36,25;15,1
-2,11;26,8
-5,56;31,4
83,75;5,4
81,95;6,1
76,4;7,2
68,75;9,1
30,75;19,5
29,45;17,8
63,55;11,1
54,7;13,5
68,55;9,2
31,6;18,1
50,15;11,9
63,2;10,1
32,95;16,4
18,6;20,9
46,15;13,5
28,3;19,3
60,2;11,3
51;12,7
18,65;22
53,7;11,6
59,4;13,8
50,85;13,9
67,55;9,5
31,6;18,1
56,45;11,7
59,4;11,6
58,85;10,7
60,9;11
57,4;14,6
75,9;7,4
29;21,3
57,25;13,6
57,7;12,3
48,65;12,5
39,45;13,9
32,8;17,6
60,7;11,1
54,7;11,2
57,85;11,1
62,7;10,3
23,25;18
51,5;12,5
32,15;16,7
49,3;13,4
49,85;12
81,75;6,2
45,55;13,7
54,85;12,3
62,7;10,3
56,7;12,7
59,3;11,7
67,85;9,4
75,4;7,6
62,85;11,4
62,7;10,3
40,3;14,7
42,45;14,9
78,4;6,4
47,05;17,5
53,85;12,7
43;15,8
79,45;7,1
57,55;11,2
70,35;8,4
41;16,6
54,2;13,6
53;11,9
38,3;15,4
-8,36;23,7
35,45;15,5
43,3;13,5
54,85;12,3
51;12,7
25,65;19,3
-47,26;45,5
-25,06;28
9,05;21,3
52;12,3
70,55;8,4
73,55;7,2
80,55;6,7
72,1;8,9
53,7;13,8
22,6;19,4
51,9;14,5
-39,46;29,2
29,75;15,5
24;18,8
62,4;10,4
40,5;16,8
58,35;10,9
53,3;11,8
56,35;11,7
44,15;14,3
40,15;15,8
36,15;17,4
47,15;13,1
58,55;10,8
19,05;17,4
44;15,4
55,55;12
70,4;9,5
59,7;11,5
82,1;7,2
68,7;10,2
46,15;13,5
60,85;10
76,1;7,3
42,15;15
45,85;13,6
56,85;11,5
79,4;6
39,3;15,1
60,7;11,1
48,15;12,7
52,85;13,1
66,55;9,9
56,35;11,7
0,9;23,4
27,3;19,7
82,25;6
46,05;13,5
