flesch;fkgl
15,84;12,2
64,37;6
14,12;12,9
48,16;8,1
54,49;7,7
24,51;11
0,08;16,2
65,39;5,6
65,69;5,5
47,75;8,3
24,61;10,9
57,53;6,6
47,65;8,3
45,93;9
38,38;9,8
50,5;7,2
83,52;2,8
88,74;2,9
74,35;4,3
55,3;7,4
46,54;8,7
37,67;10,1
72,73;4,9
20,55;12,5
41,02;8,8
44,91;9,4
72,73;4,9
46,84;8,6
47,86;8,2
65,59;5,6
50,5;7,2
63,36;6,4
46,54;8,7
38,79;9,6
64,57;5,9
70,39;5,8
71,71;5,3
49,28;7,7
36,63;14,6
-2,2;15
7,69;13,3
40,11;9,1
68,87;6,4
47,25;8,5
96,18;2,1
54,39;7,8
54,29;7,8
64,37;6
38,99;9,6
89,14;2,7
36,62;8,4
54,49;7,7
55,2;7,5
89,14;2,7
35,61;8,8
89,95;2,4
71,82;5,2
62,75;6,6
117,16;-1,9
56,93;6,8
28,91;11,4
-3,22;15,4
71,61;5,3
73,03;4,8
36,62;8,4
73,24;4,7
56,82;6,8
55,91;7,2
50,09;7,4
-47,99;20,2
65,08;5,7
68,57;6,5
57,13;6,7
72,12;5,1
82,61;3,2
90,77;2,1
91,78;1,7
99,02;1
71,71;5,3
81,39;3,6
-47,99;20,2
73,34;4,6
32,56;10
31,55;10,4
63,05;6,5
31,24;10,5
48,06;8,1
70,39;5,8
55,81;7,2
73,54;4,6
48,77;7,9
70,19;5,9
30,33;10,8
81,29;3,7
64,37;6
-47,99;20,2
55,91;7,2
74,05;4,4
29,31;11,2
82,31;3,3
88,74;2,9
38,69;9,7
80,28;4,1
38,99;9,6
63,46;6,4
91,27;1,9
72,02;5,2
44,71;9,4
80,78;3,9
47,25;8,5
47,65;8,3
61,33;7,2
47,75;8,3
32,05;10,2
23,09;11,5
13,95;15
32,56;10
92,8;1,3
-132,59;32
38,99;9,6
56,93;6,8
33,92;11,5
71,71;5,3
52,87;8,4
-18,21;17
52,26;8,6
69,48;6,1
96,18;2,1
77,53;5,1
49,01;9,9
36,96;10,3
48,26;8,1
80,38;4
89,75;2,5
119,19;-2,7
76,93;5,3
54,9;7,6
33,07;9,8
64,57;5,9
36,62;8,4
27,99;11,7
58,96;6
73,85;4,5
79,36;4,4
65,69;5,5
66,6;5,2
-132,59;32
73,74;4,5
99,23;0,9
84,64;2,4
-47,99;20,2
98,21;1,3
57,64;6,5
87,72;3,3
90,77;2,1
65,59;5,6
62,85;6,6
65,99;5,4
49,89;7,4
33,58;9,6
47,96;8,2
45,12;9,3
65,28;5,7
32,05;10,2
-47,99;20,2
32,97;9,8
77,23;5,2
-132,59;32
71,31;5,4
32,26;10,1
