tokens;types;TTR;STTR
15,00;15,00;1,00;1,00
35,00;30,00;0,86;0,83
23,00;19,00;0,83;0,79
58,00;46,00;0,79;0,76
47,00;33,00;0,70;0,65
17,00;17,00;1,00;1,00
23,00;21,00;0,91;0,89
41,00;37,00;0,90;0,88
44,00;40,00;0,91;0,89
21,00;21,00;1,00;1,00
46,00;37,00;0,80;0,77
17,00;16,00;0,94;0,92
42,00;39,00;0,93;0,92
20,00;19,00;0,95;0,94
17,00;15,00;0,88;0,84
23,00;19,00;0,83;0,79
13,00;12,00;0,92;0,89
43,00;36,00;0,84;0,81
73,00;48,00;0,66;0,61
13,00;12,00;0,92;0,89
33,00;28,00;0,85;0,82
59,00;44,00;0,75;0,71
22,00;21,00;0,95;0,94
21,00;20,00;0,95;0,94
289,00;180,00;0,62;0,60
127,00;94,00;0,74;0,71
112,00;79,00;0,71;0,68
26,00;21,00;0,81;0,76
80,00;63,00;0,79;0,76
28,00;26,00;0,93;0,91
80,00;64,00;0,80;0,77
25,00;20,00;0,80;0,75
44,00;34,00;0,77;0,73
68,00;48,00;0,71;0,67
67,00;49,00;0,73;0,69
16,00;15,00;0,94;0,92
19,00;17,00;0,89;0,86
22,00;19,00;0,86;0,82
69,00;51,00;0,74;0,70
111,00;66,00;0,59;0,55
16,00;16,00;1,00;1,00
65,00;53,00;0,82;0,79
45,00;36,00;0,80;0,76
44,00;31,00;0,70;0,65
24,00;19,00;0,79;0,74
39,00;32,00;0,82;0,79
41,00;32,00;0,78;0,74
80,00;56,00;0,70;0,66
9,00;8,00;0,89;0,84
33,00;29,00;0,88;0,85
7,00;7,00;1,00;1,00
73,00;58,00;0,79;0,76
194,00;121,00;0,62;0,59
18,00;18,00;1,00;1,00
3,00;3,00;1,00;1,00
18,00;17,00;0,94;0,92
37,00;32,00;0,86;0,83
128,00;97,00;0,76;0,74
6,00;6,00;1,00;1,00
8,00;8,00;1,00;1,00
26,00;21,00;0,81;0,76
64,00;53,00;0,83;0,81
72,00;57,00;0,79;0,76
19,00;17,00;0,89;0,86
32,00;29,00;0,91;0,89
9,00;9,00;1,00;1,00
134,00;94,00;0,70;0,67
24,00;21,00;0,88;0,85
24,00;22,00;0,92;0,90
14,00;13,00;0,93;0,90
39,00;29,00;0,74;0,69
13,00;13,00;1,00;1,00
66,00;56,00;0,85;0,83
45,00;32,00;0,71;0,66
23,00;22,00;0,96;0,95
11,00;10,00;0,91;0,87
25,00;21,00;0,84;0,80
36,00;29,00;0,81;0,77
9,00;9,00;1,00;1,00
58,00;49,00;0,84;0,82
34,00;27,00;0,79;0,75
12,00;12,00;1,00;1,00
6,00;6,00;1,00;1,00
13,00;13,00;1,00;1,00
22,00;21,00;0,95;0,94
26,00;23,00;0,88;0,85
70,00;51,00;0,73;0,69
44,00;42,00;0,95;0,94
35,00;31,00;0,89;0,87
31,00;26,00;0,84;0,80
55,00;45,00;0,82;0,79
57,00;52,00;0,91;0,90
47,00;41,00;0,87;0,85
15,00;11,00;0,73;0,64
53,00;40,00;0,75;0,71
38,00;30,00;0,79;0,75
10,00;10,00;1,00;1,00
32,00;28,00;0,88;0,85
67,00;54,00;0,81;0,78
37,00;26,00;0,70;0,64
10,00;10,00;1,00;1,00
51,00;45,00;0,88;0,86
13,00;13,00;1,00;1,00
9,00;9,00;1,00;1,00
105,00;76,00;0,72;0,69
6,00;6,00;1,00;1,00
38,00;36,00;0,95;0,94
14,00;14,00;1,00;1,00
53,00;45,00;0,85;0,83
62,00;40,00;0,65;0,60
42,00;36,00;0,86;0,83
48,00;34,00;0,71;0,66
21,00;18,00;0,86;0,82
43,00;40,00;0,93;0,92
27,00;23,00;0,85;0,81
13,00;13,00;1,00;1,00
7,00;7,00;1,00;1,00
2,00;2,00;1,00;1,00
14,00;13,00;0,93;0,90
14,00;14,00;1,00;1,00
11,00;11,00;1,00;1,00
85,00;71,00;0,84;0,82
83,00;58,00;0,70;0,66
12,00;12,00;1,00;1,00
10,00;10,00;1,00;1,00
56,00;43,00;0,77;0,73
18,00;16,00;0,89;0,86
7,00;7,00;1,00;1,00
25,00;22,00;0,88;0,85
43,00;35,00;0,81;0,78
21,00;20,00;0,95;0,94
27,00;22,00;0,81;0,76
63,00;47,00;0,75;0,71
3,00;3,00;1,00;1,00
3,00;3,00;1,00;1,00
75,00;56,00;0,75;0,72
42,00;34,00;0,81;0,78
35,00;31,00;0,89;0,87
38,00;29,00;0,76;0,71
13,00;12,00;0,92;0,89
33,00;27,00;0,82;0,78
39,00;31,00;0,79;0,75
12,00;12,00;1,00;1,00
60,00;52,00;0,87;0,85
21,00;15,00;0,71;0,63
19,00;14,00;0,74;0,66
10,00;10,00;1,00;1,00
20,00;20,00;1,00;1,00
12,00;11,00;0,92;0,89
15,00;14,00;0,93;0,91
10,00;10,00;1,00;1,00
15,00;14,00;0,93;0,91
55,00;42,00;0,76;0,72
43,00;39,00;0,91;0,89
17,00;17,00;1,00;1,00
19,00;19,00;1,00;1,00
31,00;27,00;0,87;0,84
34,00;31,00;0,91;0,89
48,00;38,00;0,79;0,75
7,00;7,00;1,00;1,00
27,00;24,00;0,89;0,86
88,00;71,00;0,81;0,79
12,00;12,00;1,00;1,00
20,00;18,00;0,90;0,87
15,00;13,00;0,87;0,82
25,00;21,00;0,84;0,80
50,00;42,00;0,84;0,81
20,00;18,00;0,90;0,87
29,00;27,00;0,93;0,91
109,00;77,00;0,71;0,68
