tokens;types;TTR;STTR
19;17;0,89;0,86
35;30;0,86;0,83
13;11;0,85;0,79
75;63;0,84;0,82
168;105;0,63;0,6
32;28;0,88;0,85
84;63;0,75;0,72
48;35;0,73;0,68
57;41;0,72;0,68
80;65;0,81;0,79
9;8;0,89;0,84
38;34;0,89;0,87
144;97;0,67;0,64
17;16;0,94;0,92
68;48;0,71;0,67
4;4;1;1
19;18;0,95;0,94
16;15;0,94;0,92
33;29;0,88;0,85
38;31;0,82;0,79
72;53;0,74;0,71
242;153;0,63;0,6
71;52;0,73;0,69
17;15;0,88;0,84
20;19;0,95;0,94
38;24;0,63;0,56
74;54;0,73;0,69
53;33;0,62;0,56
73;55;0,75;0,72
23;20;0,87;0,84
8;8;1;1
16;15;0,94;0,92
79;59;0,75;0,72
36;27;0,75;0,7
82;55;0,67;0,63
76;58;0,76;0,73
81;61;0,75;0,72
26;20;0,77;0,71
52;29;0,56;0,49
59;42;0,71;0,67
9;9;1;1
41;36;0,88;0,86
76;60;0,79;0,76
43;36;0,84;0,81
18;14;0,78;0,71
34;25;0,74;0,69
86;62;0,72;0,69
7;7;1;1
7;6;0,86;0,77
53;37;0,7;0,65
1;1;1;#DIV/0!
67;54;0,81;0,78
356;193;0,54;0,51
84;62;0,74;0,71
2;2;1;1
41;24;0,59;0,51
88;60;0,68;0,64
1835;997;0,54;0,53
5;5;1;1
18;15;0,83;0,78
43;31;0,72;0,67
69;49;0,71;0,67
49;42;0,86;0,84
82;62;0,76;0,73
1;1;1;#DIV/0!
53;33;0,62;0,56
91;63;0,69;0,65
14;12;0,86;0,81
35;30;0,86;0,83
1;1;1;#DIV/0!
19;18;0,95;0,94
101;80;0,79;0,77
29;28;0,97;0,96
69;50;0,72;0,68
17;15;0,88;0,84
6;6;1;1
15;13;0,87;0,82
31;22;0,71;0,65
128;80;0,63;0,59
55;47;0,85;0,83
1;1;1;#DIV/0!
13;10;0,77;0,68
5;5;1;1
6;6;1;1
25;20;0,8;0,75
25;21;0,84;0,8
52;44;0,85;0,83
66;55;0,83;0,81
120;86;0,72;0,69
75;47;0,63;0,58
51;40;0,78;0,74
191;96;0,5;0,46
65;47;0,72;0,68
63;52;0,83;0,81
119;86;0,72;0,69
1;1;1;#DIV/0!
21;19;0,9;0,87
70;43;0,61;0,56
41;33;0,8;0,76
48;33;0,69;0,64
8;8;1;1
88;58;0,66;0,62
8;8;1;1
42;31;0,74;0,69
206;107;0,52;0,48
11;11;1;1
101;72;0,71;0,68
29;27;0,93;0,91
187;113;0,6;0,57
238;161;0,68;0,66
27;21;0,78;0,73
20;18;0,9;0,87
20;18;0,9;0,87
60;47;0,78;0,75
12;11;0,92;0,89
15;13;0,87;0,82
10;9;0,9;0,85
4;4;1;1
1;1;1;#DIV/0!
14;14;1;1
24;22;0,92;0,9
72;56;0,78;0,75
162;85;0,52;0,48
10;10;1;1
5;5;1;1
95;67;0,71;0,68
31;23;0,74;0,68
9;9;1;1
32;29;0,91;0,89
55;37;0,67;0,62
9;9;1;1
204;122;0,6;0,57
126;76;0,6;0,56
7;7;1;1
3;3;1;1
510;261;0,51;0,49
32;27;0,84;0,81
18;18;1;1
27;25;0,93;0,91
1;1;1;#DIV/0!
38;31;0,82;0,79
24;20;0,83;0,79
30;26;0,87;0,84
204;132;0,65;0,62
40;26;0,65;0,58
19;14;0,74;0,66
1;1;1;#DIV/0!
55;42;0,76;0,72
12;12;1;1
11;9;0,82;0,74
1;1;1;#DIV/0!
21;20;0,95;0,94
16;14;0,88;0,84
45;38;0,84;0,81
6;6;1;1
23;21;0,91;0,89
119;81;0,68;0,65
27;23;0,85;0,81
23;22;0,96;0,95
4;4;1;1
26;23;0,88;0,85
65;54;0,83;0,81
49;30;0,61;0,55
11;11;1;1
1;1;1;#DIV/0!
23;22;0,96;0,95
33;25;0,76;0,71
1;1;1;#DIV/0!
34;30;0,88;0,86
48;40;0,83;0,8
